date,precip_mm,gwetroot,t2m_max,month
2007-01-31,8.99,0.39,35.2,2007-01
2007-02-28,53.2,0.4,34.8,2007-02
2007-03-31,112.53,0.44,35.14,2007-03
2007-04-30,125.70000000000002,0.51,31.22,2007-04
2007-05-31,152.21,0.54,31.78,2007-05
2007-06-30,205.8,0.62,29.67,2007-06
2007-07-31,149.73,0.58,28.95,2007-07
2007-08-31,42.78,0.53,29.35,2007-08
2007-09-30,74.7,0.48,31.1,2007-09
2007-10-31,138.26,0.49,31.47,2007-10
2007-11-30,77.4,0.51,31.93,2007-11
2007-12-31,42.470000000000006,0.47,33.11,2007-12
2008-01-31,17.98,0.42,34.45,2008-01
2008-02-29,26.1,0.39,35.58,2008-02
2008-03-31,128.65,0.46,32.56,2008-03
2008-04-30,144.9,0.5,31.97,2008-04
2008-05-31,148.79999999999998,0.56,31.26,2008-05
2008-06-30,197.4,0.6,29.57,2008-06
2008-07-31,112.53,0.6,28.79,2008-07
2008-08-31,59.52,0.52,31.02,2008-08
2008-09-30,84.3,0.49,31.54,2008-09
2008-10-31,103.54,0.49,31.74,2008-10
2008-11-30,96.0,0.49,32.33,2008-11
2008-12-31,38.13,0.46,34.42,2008-12
2009-01-31,23.87,0.42,34.4,2009-01
2009-02-28,100.52,0.43,32.48,2009-02
2009-03-31,115.94,0.48,32.25,2009-03
2009-04-30,118.2,0.51,31.75,2009-04
2009-05-31,195.3,0.59,30.02,2009-05
2009-06-30,319.20000000000005,0.69,29.42,2009-06
2009-07-31,108.81,0.74,28.8,2009-07
2009-08-31,37.2,0.62,28.62,2009-08
2009-09-30,32.1,0.5,30.99,2009-09
2009-10-31,64.17,0.45,31.95,2009-10
2009-11-30,123.3,0.48,32.69,2009-11
2009-12-31,44.02,0.45,33.58,2009-12
2010-01-31,26.04,0.41,35.63,2010-01
2010-02-28,77.83999999999999,0.41,37.83,2010-02
2010-03-31,134.54,0.48,33.25,2010-03
2010-04-30,147.3,0.5,33.32,2010-04
2010-05-31,190.65,0.58,30.44,2010-05
2010-06-30,262.5,0.69,29.28,2010-06
2010-07-31,127.41,0.7,28.88,2010-07
2010-08-31,74.09,0.59,28.69,2010-08
2010-09-30,107.1,0.55,30.03,2010-09
2010-10-31,201.19,0.57,30.11,2010-10
2010-11-30,83.1,0.59,30.29,2010-11
2010-12-31,52.39,0.52,31.74,2010-12
2011-01-31,26.35,0.47,32.32,2011-01
2011-02-28,127.12,0.47,34.74,2011-02
2011-03-31,134.23,0.54,31.91,2011-03
2011-04-30,127.8,0.55,32.73,2011-04
2011-05-31,164.61,0.58,31.67,2011-05
2011-06-30,227.7,0.65,29.74,2011-06
2011-07-31,85.25,0.63,28.82,2011-07
2011-08-31,33.480000000000004,0.51,29.95,2011-08
2011-09-30,132.0,0.48,31.23,2011-09
2011-10-31,214.83,0.57,29.82,2011-10
2011-11-30,78.89999999999999,0.55,30.65,2011-11
2011-12-31,47.12,0.49,32.65,2011-12
2012-01-31,9.61,0.42,34.83,2012-01
2012-02-29,51.04,0.4,33.58,2012-02
2012-03-31,69.13,0.42,35.28,2012-03
2012-04-30,121.79999999999998,0.46,32.25,2012-04
2012-05-31,199.95,0.53,30.81,2012-05
2012-06-30,226.5,0.62,29.77,2012-06
2012-07-31,42.470000000000006,0.61,28.69,2012-07
2012-08-31,23.87,0.48,30.56,2012-08
2012-09-30,69.3,0.43,32.05,2012-09
2012-10-31,197.47,0.5,31.11,2012-10
2012-11-30,118.5,0.53,31.47,2012-11
2012-12-31,77.80999999999999,0.52,32.05,2012-12
2013-01-31,8.06,0.44,35.61,2013-01
2013-02-28,52.080000000000005,0.41,35.07,2013-02
2013-03-31,122.45,0.47,34.29,2013-03
2013-04-30,135.9,0.51,31.85,2013-04
2013-05-31,276.21,0.59,30.42,2013-05
2013-06-30,180.3,0.7,29.03,2013-06
2013-07-31,56.73,0.6,28.21,2013-07
2013-08-31,21.39,0.49,30.24,2013-08
2013-09-30,83.7,0.46,31.35,2013-09
2013-10-31,104.78,0.46,31.68,2013-10
2013-11-30,150.9,0.5,31.49,2013-11
2013-12-31,69.13,0.5,33.02,2013-12
2014-01-31,26.35,0.44,33.2,2014-01
2014-02-28,61.60000000000001,0.43,34.28,2014-02
2014-03-31,131.13000000000002,0.47,32.79,2014-03
2014-04-30,214.2,0.55,32.18,2014-04
2014-05-31,189.41,0.63,30.91,2014-05
2014-06-30,316.5,0.74,29.48,2014-06
2014-07-31,128.03,0.78,28.54,2014-07
2014-08-31,53.63,0.63,29.04,2014-08
2014-09-30,104.1,0.55,29.28,2014-09
2014-10-31,99.82,0.53,30.61,2014-10
2014-11-30,111.3,0.51,31.21,2014-11
2014-12-31,55.49,0.48,32.65,2014-12
2015-01-31,19.84,0.42,33.38,2015-01
2015-02-28,103.6,0.45,33.12,2015-02
2015-03-31,203.36,0.52,34.84,2015-03
2015-04-30,188.7,0.6,30.73,2015-04
2015-05-31,164.29999999999998,0.64,30.35,2015-05
2015-06-30,363.0,0.8,28.84,2015-06
2015-07-31,75.02,0.75,28.48,2015-07
2015-08-31,22.63,0.6,29.26,2015-08
2015-09-30,44.7,0.49,30.53,2015-09
2015-10-31,213.9,0.51,30.77,2015-10
2015-11-30,177.6,0.6,30.92,2015-11
2015-12-31,31.62,0.55,31.46,2015-12
2016-01-31,16.12,0.45,34.43,2016-01
2016-02-29,43.5,0.4,35.53,2016-02
2016-03-31,114.7,0.44,35.32,2016-03
2016-04-30,102.9,0.48,33.66,2016-04
2016-05-31,215.14,0.52,32.74,2016-05
2016-06-30,219.0,0.64,30.15,2016-06
2016-07-31,41.85,0.57,28.9,2016-07
2016-08-31,53.01,0.47,30.21,2016-08
2016-09-30,114.6,0.46,31.27,2016-09
2016-10-31,166.47,0.52,31.12,2016-10
2016-11-30,111.3,0.54,31.82,2016-11
2016-12-31,75.33,0.53,32.02,2016-12
2017-01-31,76.57000000000001,0.49,33.5,2017-01
2017-02-28,58.24,0.47,33.53,2017-02
2017-03-31,88.35000000000001,0.48,32.73,2017-03
2017-04-30,149.4,0.52,32.69,2017-04
2017-05-31,170.5,0.56,31.69,2017-05
2017-06-30,286.2,0.67,29.9,2017-06
2017-07-31,69.75,0.68,28.7,2017-07
2017-08-31,83.39,0.55,29.72,2017-08
2017-09-30,80.1,0.5,30.68,2017-09
2017-10-31,205.84,0.56,30.94,2017-10
2017-11-30,153.0,0.6,30.47,2017-11
2017-12-31,60.76,0.56,32.07,2017-12
2018-01-31,11.47,0.47,34.16,2018-01
2018-02-28,121.24,0.45,34.85,2018-02
2018-03-31,107.26,0.51,32.19,2018-03
2018-04-30,106.2,0.51,32.13,2018-04
2018-05-31,182.28,0.53,32.05,2018-05
2018-06-30,186.3,0.58,29.81,2018-06
2018-07-31,108.81,0.6,28.6,2018-07
2018-08-31,95.79,0.51,30.52,2018-08
2018-09-30,105.6,0.52,29.99,2018-09
2018-10-31,166.78,0.54,30.58,2018-10
2018-11-30,135.6,0.56,31.16,2018-11
2018-12-31,36.58,0.51,32.48,2018-12
2019-01-31,28.21,0.44,34.81,2019-01
2019-02-28,58.24,0.43,35.71,2019-02
2019-03-31,104.78,0.44,34.93,2019-03
2019-04-30,182.7,0.53,33.01,2019-04
2019-05-31,208.63,0.58,31.85,2019-05
2019-06-30,198.0,0.62,29.58,2019-06
2019-07-31,78.74,0.6,29.0,2019-07
2019-08-31,49.6,0.5,30.63,2019-08
2019-09-30,185.1,0.51,30.92,2019-09
2019-10-31,264.73999999999995,0.63,29.32,2019-10
2019-11-30,132.89999999999998,0.68,31.2,2019-11
2019-12-31,56.42,0.61,31.88,2019-12
2020-01-31,9.3,0.5,34.45,2020-01
2020-02-29,28.13,0.43,35.64,2020-02
2020-03-31,153.14,0.47,33.43,2020-03
2020-04-30,130.5,0.53,34.24,2020-04
2020-05-31,199.02,0.56,32.03,2020-05
2020-06-30,299.7,0.66,30.26,2020-06
2020-07-31,82.14999999999999,0.67,28.4,2020-07
2020-08-31,18.29,0.52,29.79,2020-08
2020-09-30,132.89999999999998,0.49,30.17,2020-09
2020-10-31,272.18,0.57,30.06,2020-10
2020-11-30,136.79999999999998,0.64,30.4,2020-11
2020-12-31,80.28999999999999,0.6,30.77,2020-12
2021-01-31,100.13,0.58,31.41,2021-01
2021-02-28,96.6,0.53,32.64,2021-02
2021-03-31,126.48,0.54,32.73,2021-03
2021-04-30,132.3,0.55,31.95,2021-04
2021-05-31,137.95000000000002,0.56,31.85,2021-05
2021-06-30,203.4,0.6,30.54,2021-06
2021-07-31,171.11999999999998,0.67,28.59,2021-07
2021-08-31,124.93,0.58,29.19,2021-08
2021-09-30,205.8,0.61,29.35,2021-09
2021-10-31,184.45,0.66,29.79,2021-10
2021-11-30,133.5,0.67,30.61,2021-11
2021-12-31,64.17,0.6,31.15,2021-12
2022-01-31,51.46,0.55,32.85,2022-01
2022-02-28,41.72,0.47,33.7,2022-02
2022-03-31,87.42,0.46,34.59,2022-03
2022-04-30,189.0,0.53,32.96,2022-04
2022-05-31,228.47,0.63,29.98,2022-05
2022-06-30,363.9,0.72,29.72,2022-06
2022-07-31,105.4,0.78,28.5,2022-07
2022-08-31,78.74,0.65,28.41,2022-08
2022-09-30,114.0,0.58,29.26,2022-09
2022-10-31,205.53,0.59,29.7,2022-10
2022-11-30,155.1,0.62,30.42,2022-11
2022-12-31,46.81,0.58,31.73,2022-12
2023-01-31,27.59,0.48,33.38,2023-01
2023-02-28,40.88,0.46,34.44,2023-02
2023-03-31,228.47,0.52,33.04,2023-03
2023-04-30,213.0,0.6,31.32,2023-04
2023-05-31,263.5,0.7,30.83,2023-05
2023-06-30,422.7,0.85,29.72,2023-06
2023-07-31,176.39,0.87,29.27,2023-07
2023-08-31,48.98,0.76,28.87,2023-08
2023-09-30,91.8,0.65,30.03,2023-09
2023-10-31,231.26,0.65,30.42,2023-10
2023-11-30,174.0,0.68,30.94,2023-11
2023-12-31,31.62,0.62,32.33,2023-12
2024-01-31,58.59,0.53,34.15,2024-01
2024-02-29,23.200000000000003,0.45,35.27,2024-02
2024-03-31,138.26,0.48,34.8,2024-03
2024-04-30,105.6,0.49,34.62,2024-04
2024-05-31,202.12,0.54,32.86,2024-05
2024-06-30,179.70000000000002,0.59,30.2,2024-06
2024-07-31,35.34,0.54,30.08,2024-07
2024-08-31,39.68,0.45,31.04,2024-08
2024-09-30,69.3,0.42,33.31,2024-09
2024-10-31,463.14,0.6,31.13,2024-10
2024-11-30,72.30000000000001,0.69,30.74,2024-11
2024-12-31,63.55,0.58,32.37,2024-12
2025-01-31,35.029999999999994,0.5,32.94,2025-01
2025-02-28,47.88,0.47,34.42,2025-02
2025-03-31,97.65,0.47,33.87,2025-03
2025-04-30,126.9,0.49,33.44,2025-04
2025-05-31,164.92000000000002,0.53,32.53,2025-05
2025-06-30,274.8,0.62,30.87,2025-06
2025-07-31,18.6,0.58,30.45,2025-07
